trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,key_resp.rt,corrAns,tilt,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,16.65807460003998,17.216947400011122,17.216947400011122,17.23496360005811,17.519168799975887,0,5.036409399937838,left,-10.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
1,1,12.0,22.29913719999604,22.78521180001553,22.78521180001553,22.802075000014156,23.10118949995376,1,0.8572323999833316,right,12.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
2,1,11.0,23.66705229994841,24.167150299996138,24.167150299996138,24.167150299996138,24.467485000030138,0,0.6956230000359938,left,-11.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
3,1,12.0,24.883966900059022,25.383733900031075,25.383733900031075,25.383733900031075,25.683770600007847,1,0.38852409995160997,right,12.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
4,1,12.0,25.800443400046788,26.300239900010638,26.300239900010638,26.300239900010638,26.59994840004947,1,0.48249560000840575,right,12.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
5,1,12.0,26.799993599997833,27.30014049995225,27.30014049995225,27.30014049995225,27.59983259998262,0,0.4575573999900371,left,-12.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
6,1,13.0,27.783428100054152,28.283432699972764,28.283432699972764,28.283432699972764,28.583153799991123,0,0.9982896000146866,left,-13.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
7,1,14.0,29.299481900059618,29.800055700005032,29.800055700005032,29.800055700005032,30.099406699999236,0,1.6116966999834403,right,14.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
8,1,15.0,31.432604699977674,31.93293440004345,31.93293440004345,31.93293440004345,32.23243229999207,0,1.5027083000168204,left,-15.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
9,1,16.0,33.46594280004501,33.96656700002495,33.96656700002495,33.96656700002495,34.26557499996852,1,1.7951936000026762,right,16.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
10,1,16.0,35.78168240003288,36.28296580002643,36.28296580002643,36.28296580002643,36.58265830005985,1,2.6439689999679103,right,16.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
11,1,16.0,38.94794169999659,39.44817230000626,39.44817230000626,39.44817230000626,39.74813419999555,0,0.9366304000141099,right,16.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
12,1,17.0,40.41442619997542,40.913870400050655,40.913870400050655,40.913870400050655,41.214046900044195,1,0.6002975000301376,left,-17.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
13,1,17.0,41.53062029997818,42.03073829994537,42.03073829994537,42.03073829994537,42.331576699973084,0,0.5693327001063153,right,17.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
14,1,18.0,42.6305444999598,43.13062169996556,43.13062169996556,43.13062169996556,43.43064899998717,1,0.4692719999002293,left,-18.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
15,1,18.0,43.63068900001235,44.130455199978314,44.130455199978314,44.130455199978314,44.4312752999831,1,0.7581787999952212,left,-18.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
16,1,18.0,44.91369299998041,45.41344280005433,45.41344280005433,45.41344280005433,45.71354390005581,0,0.3702713999664411,left,-18.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
17,1,19.0,45.81337700004224,46.31358429999091,46.31358429999091,46.31358429999091,46.613486899994314,0,0.4660769999027252,right,19.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
18,1,20.0,46.79695989994798,47.296520599978976,47.296520599978976,47.296520599978976,47.59714740002528,0,0.43720819998998195,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
